Table E200-1: GDP by major expenditure component and per capita GDP at current market prices,,,,,,,,,,,,,,,,,,,,,,,,,Index
,,,,,,,,,,,,,,,,,,,,,,,,,
GDP expenditure component,,Gross Domestic Product [1],,Per capita GDP,,Domestic demand [2],,Final demand*[3],,Private consumption expenditure,,Government consumption expenditure,,Gross domestic fixed capital formation,,Changes in inventories,Exports of goods* (f.o.b.),,Exports of services*,,Imports of goods* (f.o.b.),,Imports of services*,,
Year,Quarter,HK$ million,Year-on-year % change,HK$,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,
1961,,"7,455 ",-,"2,353 ",-,"8,021 ",-,"14,212 ",-,"5,762 ",-,471 ,-,"1,733 ",-,55 ,"3,930 ",-,"2,261 ",-,"5,673 ",-,"1,084 ",-,
1962,,"8,687 ",16.5 ,"2,628 ",11.7 ,"9,409 ",17.3 ,"16,215 ",14.1 ,"6,440 ",11.8 ,498 ,5.7 ,"2,407 ",38.9 ,64 ,"4,387 ",11.6 ,"2,419 ",7.0 ,"6,332 ",11.6 ,"1,196 ",10.3 ,
1963,,"10,427 ",20.0 ,"3,048 ",16.0 ,"11,169 ",18.7 ,"18,789 ",15.9 ,"7,109 ",10.4 ,568 ,14.1 ,"3,415 ",41.9 ,77 ,"4,991 ",13.8 ,"2,629 ",8.7 ,"7,062 ",11.5 ,"1,300 ",8.7 ,
1964,,"11,888 ",14.0 ,"3,392 ",11.3 ,"12,799 ",14.6 ,"21,468 ",14.3 ,"7,845 ",10.4 ,645 ,13.6 ,"4,221 ",23.6 ,88 ,"5,784 ",15.9 ,"2,885 ",9.7 ,"8,147 ",15.4 ,"1,433 ",10.2 ,
1965,,"13,953 ",17.4 ,"3,878 ",14.3 ,"14,433 ",12.8 ,"24,036 ",12.0 ,"8,842 ",12.7 ,722 ,11.9 ,"4,766 ",12.9 ,103 ,"6,530 ",12.9 ,"3,073 ",6.5 ,"8,560 ",5.1 ,"1,523 ",6.3 ,
1966,,"14,282 ",2.4 ,"3,935 ",1.5 ,"14,787 ",2.5 ,"25,628 ",6.6 ,"10,025 ",13.4 ,814 ,12.7 ,"3,841 ",-19.4 ,107 ,"7,563 ",15.8 ,"3,278 ",6.7 ,"9,651 ",12.7 ,"1,695 ",11.3 ,
1967,,"15,475 ",8.4 ,"4,157 ",5.6 ,"14,755 ",-0.2 ,"27,232 ",6.3 ,"10,711 ",6.8 ,932 ,14.5 ,"2,997 ",-22.0 ,115 ,"8,781 ",16.1 ,"3,696 ",12.8 ,"10,002 ",3.6 ,"1,755 ",3.5 ,
1968,,"16,533 ",6.8 ,"4,348 ",4.6 ,"15,643 ",6.0 ,"30,558 ",12.2 ,"11,871 ",10.8 ,"1,025 ",10.0 ,"2,625 ",-12.4 ,122 ,"10,570 ",20.4 ,"4,345 ",17.6 ,"11,952 ",19.5 ,"2,073 ",18.1 ,
1969,,"19,437 ",17.6 ,"5,030 ",15.7 ,"17,722 ",13.3 ,"36,181 ",18.4 ,"13,421 ",13.1 ,"1,122 ",9.5 ,"3,036 ",15.7 ,143 ,"13,197 ",24.9 ,"5,262 ",21.1 ,"14,298 ",19.6 ,"2,446 ",18.0 ,
1970,,"23,106 ",18.9 ,"5,836 ",16.0 ,"21,326 ",20.3 ,"42,858 ",18.5 ,"15,304 ",14.0 ,"1,307 ",16.5 ,"4,544 ",49.7 ,171 ,"15,238 ",15.5 ,"6,294 ",19.6 ,"16,897 ",18.2 ,"2,855 ",16.7 ,
1971,,"26,681 ",15.5 ,"6,596 ",13.0 ,"25,560 ",19.9 ,"49,401 ",15.3 ,"17,663 ",15.4 ,"1,402 ",7.3 ,"6,298 ",38.6 ,197 ,"17,164 ",12.6 ,"6,677 ",6.1 ,"19,456 ",15.1 ,"3,264 ",14.3 ,
1972,,"32,213 ",20.7 ,"7,812 ",18.4 ,"29,654 ",16.0 ,"56,838 ",15.1 ,"20,404 ",15.5 ,"1,706 ",21.7 ,"7,308 ",16.0 ,236 ,"19,400 ",13.0 ,"7,784 ",16.6 ,"20,914 ",7.5 ,"3,711 ",13.7 ,
1973,,"41,327 ",28.3 ,"9,743 ",24.7 ,"38,718 ",30.6 ,"74,020 ",30.2 ,"27,116 ",32.9 ,"2,145 ",25.7 ,"9,154 ",25.3 ,303 ,"25,999 ",34.0 ,"9,303 ",19.5 ,"27,912 ",33.5 ,"4,781 ",28.8 ,
1974,,"47,240 ",14.3 ,"10,791 ",10.8 ,"44,976 ",16.2 ,"85,902 ",16.1 ,"30,800 ",13.6 ,"2,752 ",28.3 ,"10,746 ",17.4 ,678 ,"30,036 ",15.5 ,"10,890 ",17.1 ,"32,833 ",17.6 ,"5,829 ",21.9 ,
1975,,"49,589 ",5.0 ,"11,115 ",3.0 ,"46,816 ",4.1 ,"88,173 ",2.6 ,"32,464 ",5.4 ,"2,973 ",8.0 ,"10,648 ",-0.9 ,731 ,"29,832 ",-0.7 ,"11,525 ",5.8 ,"32,281 ",-1.7 ,"6,303 ",8.1 ,
